Date,Price
2018-05-31,8313.0
2018-05-30,6100.0
2018-05-29,7297.0
2018-05-28,6100.0
2018-05-27,5450.0
2018-05-26,5450.0
2018-05-25,9000.0
2018-06-30,15297.0
2018-06-25,11400.0
2018-06-24,11755.0
2018-06-23,12505.0
2018-06-21,9994.0
2018-06-20,10200.0
2018-06-19,10141.0
2018-06-18,9675.0
2018-06-17,10327.0
2018-06-16,10869.0
2018-06-15,10200.0
2018-06-14,9880.0
2018-06-13,9508.0
2018-06-12,9838.0
2018-06-11,9950.0
2018-06-10,12514.0
2018-06-09,10720.0
2018-06-08,10415.0
2018-06-07,9260.0
2018-06-06,7770.0
2018-06-05,7920.0
2018-06-04,9006.0
2018-06-02,8638.0
2018-06-01,7660.0
2018-07-31,16532.0
2018-07-30,16454.0
2018-07-29,16078.0
2018-07-28,17480.0
2018-07-27,15069.0
2018-07-18,14388.0
2018-07-17,15183.0
2018-07-16,14822.0
2018-07-15,17543.0
2018-07-14,19303.0
2018-07-12,14023.0
2018-07-10,14821.0
2018-07-09,13076.0
2018-07-08,14113.0
2018-07-07,13874.0
2018-07-05,11350.0
2018-07-04,11977.0
2018-07-01,14575.0
2018-08-30,14307.0
2018-08-25,16398.0
2018-08-21,13272.0
2018-08-18,15293.0
2018-08-14,15043.0
2018-08-06,16310.0
2018-08-04,17649.0
2018-08-03,17649.0
2018-08-02,17498.0
2018-08-01,17162.0
2018-09-21,9350.0
2018-09-17,9350.0
2018-09-06,10980.0
2018-09-02,12754.0
2018-10-17,9350.0
2018-10-06,8980.0
2018-10-02,8754.0
2018-11-17,6864.0